vector,promoter,date,setup,condition,frames,time_step_min,master,duration_h,curation,moma_version,segmentation_model,gl_width,master_type,comment,gls,vertical offset,pruning,old_status,new_status
ch,med2,20220921,momo,m9+glu 0.2+aa,0-Inf,1.5,vng-87,22,202208_deep_moma_batch,0.6.0-beta9+086e15f6,model_20210715_5b27d7aa,0.8,mxDIMM2L,,,115,,ready,
ch,rrnB,20220921,momo,m9+glu 0.2+aa,0-Inf,1.5,vng-87,22,202208_deep_moma_batch,0.6.0-beta9+086e15f6,model_20210715_5b27d7aa,0.8,mxDIMM2L,,,115,,ready,
ch,hi3,20221111,momo,m9+glu 0.2+aa,0-Inf,1.5,vng-87,22,202208_deep_moma_batch,0.6.0-beta9+086e15f6,model_20210715_5b27d7aa,0.8,mxDIMM2L,,,95,,ready,
ch,med3,20221111,momo,m9+glu 0.2+aa,0-Inf,1.5,vng-87,22,202208_deep_moma_batch,0.6.0-beta9+086e15f6,model_20210715_5b27d7aa,0.8,mxDIMM2L,,,95,,ready,
ch,rpmB,20221111,momo,m9+glu 0.2+aa,0-Inf,1.5,vng-87,22,202208_deep_moma_batch,0.6.0-beta9+086e15f6,model_20210715_5b27d7aa,0.8,mxDIMM2L,,,95,,ready,
ch,rplN,20221111,momo,m9+glu 0.2+aa,0-Inf,1.5,vng-87,22,202208_deep_moma_batch,0.6.0-beta9+086e15f6,model_20210715_5b27d7aa,0.8,mxDIMM2L,,,95,,ready,
ch,hi1,20221121,momo,m9+ace 0.05,0-334,12,vng79,66.8,202301_deep_moma_batch,/scicore/home/nimwegen/GROUP/Moma/MM_Analysis/builds/unstable_2023011 2__moma_v0.6.0-beta14-02af6055/Modules,model_20210715_5b27d7aa,0.8,mxDIMM2L,,29,90,fixed,ready,ready
ch,med3,20220824,momo,m9+ace 0.2,0-Inf,12,vng79,40,202208_deep_moma,0.4.0-6a6039e3,model_20210715_5b27d7aa,0.8,mxDIMM2L,all ok but cells are growing fast,9,100,no_need_to_be_fixed,ready,ready
ch,rplN,20220824,momo,m9+ace 0.2,0-Inf,12,vng79,40,202208_deep_moma,0.4.0-6a6039e3,model_20210715_5b27d7aa,0.8,mxDIMM2L,all ok but cells are growing fast,12,100,no_need_to_be_fixed,ready,ready
ch,6300,20220824,momo,m9+ace 0.2,0-Inf,12,vng79,40,202208_deep_moma,0.4.0-6a6039e3,model_20210715_5b27d7aa,0.8,mxDIMM2L,all ok but cells are growing fast,13,100,no_need_to_be_fixed,ready,ready
ch,rrnB,20220824,momo,m9+ace 0.2,0-Inf,12,vng79,40,202208_deep_moma,0.4.0-6a6039e3,model_20210715_5b27d7aa,0.8,mxDIMM2L,all ok but cells are growing fast,13,100,no_need_to_be_fixed,ready,ready
